Resistant Phenotype,ID
Susceptible,1
Susceptible,74
Resistant,73
Susceptible,71
Susceptible,69
Resistant,65
Resistant,63
Resistant,62
Resistant,61
Resistant,60
Susceptible,54
Susceptible,50
Resistant,48
Susceptible,47
Susceptible,46
Susceptible,43
Resistant,42
Susceptible,93
Susceptible,92
Susceptible,91
Susceptible,88
Susceptible,87
Susceptible,86
Susceptible,38
Susceptible,37
Resistant,34
Susceptible,33
Resistant,32
Susceptible,29
Susceptible,28
Susceptible,27
Resistant,21
Susceptible,20
Susceptible,6
Susceptible,122
Susceptible,120
Susceptible,119
Susceptible,118
Susceptible,115
Susceptible,110
Susceptible,109
Susceptible,107
Resistant,105
Susceptible,104
Susceptible,103
Susceptible,102
Susceptible,101
Susceptible,100
Susceptible,97
Susceptible,95
Susceptible,127
Susceptible,214
Susceptible,209
Susceptible,334
Susceptible,128
Susceptible,347
Susceptible,339
Susceptible,350
Susceptible,126
Susceptible,337
Susceptible,328
Susceptible,207
Susceptible,205
Susceptible,197
Susceptible,194
Susceptible,189
Susceptible,185
Susceptible,183
Susceptible,177
Susceptible,175
Susceptible,174
Susceptible,172
Susceptible,162
Susceptible,160
Susceptible,159
Susceptible,152
Susceptible,150
Susceptible,145
Susceptible,143
Susceptible,140
Susceptible,137
Susceptible,358
Susceptible,353
Susceptible,405
Susceptible,404
Susceptible,403
Susceptible,399
Susceptible,398
Susceptible,395
Susceptible,394
Susceptible,393
Susceptible,390
Susceptible,386
Susceptible,384
Susceptible,380
Susceptible,445
Susceptible,432
Susceptible,462
Susceptible,443
Susceptible,448
Susceptible,454
Susceptible,377
Susceptible,376
Susceptible,374
Susceptible,373
Susceptible,371
Susceptible,368
Susceptible,364
Susceptible,436
Susceptible,433
Susceptible,431
Susceptible,420
Susceptible,419
Susceptible,418
Susceptible,412
Susceptible,411
Susceptible,410
Susceptible,475
Susceptible,472
Susceptible,468
Susceptible,460
Susceptible,458
Resistant,451
Susceptible,453
Susceptible,452
Susceptible,450
Resistant,449
Susceptible,446
Susceptible,442
Resistant,538
Resistant,539
Resistant,539
Susceptible,541
Resistant,542
Resistant,543
Susceptible,545
Susceptible,481
Susceptible,484
Susceptible,489
Susceptible,491
Susceptible,496
Susceptible,495
Susceptible,492
Susceptible,487
Susceptible,500
Susceptible,503
Susceptible,504
Susceptible,506
Susceptible,511
Susceptible,516
Susceptible,518
Susceptible,519
Susceptible,520
Susceptible,522
Susceptible,525
Susceptible,529
Susceptible,533
Susceptible,320
Susceptible,314
Susceptible,311
Susceptible,310
Susceptible,219
Susceptible,124
Susceptible,164
Susceptible,167
Susceptible,156
Susceptible,133
Susceptible,345
Susceptible,333
Susceptible,263
Susceptible,306
Susceptible,300
Susceptible,297
Susceptible,295
Susceptible,294
Susceptible,293
Susceptible,292
Susceptible,288
Susceptible,287
Susceptible,279
Susceptible,277
Susceptible,273
Susceptible,271
Susceptible,268
Susceptible,262
Susceptible,260
Susceptible,258
Susceptible,254
Susceptible,250
Susceptible,246
Susceptible,244
Susceptible,245
Susceptible,240
Susceptible,231
Susceptible,230
Susceptible,225
Susceptible,349
Susceptible,348
Susceptible,336
